bookmarked_at,BookmarkedAt,post_url,PostUrl,post_title,PostTitle
"February 7, 2020 at 05:44PM","February 7, 2020 at 05:44PM",https://towardsdatascience.com/web-scraping-is-now-legal-6bf0e5730a78?source=ifttt--------------2,https://towardsdatascience.com/web-scraping-is-now-legal-6bf0e5730a78?source=ifttt--------------2,Web scraping is now legal,Web scraping is now legal
"February 7, 2020 at 06:39PM","February 7, 2020 at 06:39PM",https://medium.com/buckham-duffy-insights/design-thinking-the-scientific-method-applied-to-business-a08abc18be9e?source=ifttt--------------2,https://medium.com/buckham-duffy-insights/design-thinking-the-scientific-method-applied-to-business-a08abc18be9e?source=ifttt--------------2,Design Thinking: The Scientific Method Applied to Business,Design Thinking: The Scientific Method Applied to Business
"February 8, 2020 at 11:59AM","February 8, 2020 at 11:59AM",https://uxdesign.cc/a-curated-list-with-5-frontend-ui-kits-for-your-next-web-app-46b00acd2fe3?source=ifttt--------------2,https://uxdesign.cc/a-curated-list-with-5-frontend-ui-kits-for-your-next-web-app-46b00acd2fe3?source=ifttt--------------2,5 curated frontend UI kits for your next web app,5 curated frontend UI kits for your next web app
"February 8, 2020 at 12:00PM","February 8, 2020 at 12:00PM",https://towardsdatascience.com/data-visualization-rules-to-keep-you-ahead-of-the-game-82c4b35ad22c?source=ifttt--------------2,https://towardsdatascience.com/data-visualization-rules-to-keep-you-ahead-of-the-game-82c4b35ad22c?source=ifttt--------------2,Data Visualization Rules to Keep You Ahead of The Game,Data Visualization Rules to Keep You Ahead of The Game
"February 9, 2020 at 03:12PM","February 9, 2020 at 03:12PM",https://medium.com/better-programming/a-list-of-fun-projects-you-can-build-as-a-developer-be8e56f1748c?source=ifttt--------------2,https://medium.com/better-programming/a-list-of-fun-projects-you-can-build-as-a-developer-be8e56f1748c?source=ifttt--------------2,A List of Fun Projects You Can Build as a Developer,A List of Fun Projects You Can Build as a Developer
"February 11, 2020 at 11:06PM","February 11, 2020 at 11:06PM",https://uxdesign.cc/how-to-find-your-niche-as-a-ui-ux-designer-aabbe5c9e396?source=ifttt--------------2,https://uxdesign.cc/how-to-find-your-niche-as-a-ui-ux-designer-aabbe5c9e396?source=ifttt--------------2,How to find your niche as a UI/UX designer,How to find your niche as a UI/UX designer
"February 12, 2020 at 06:31PM","February 12, 2020 at 06:31PM",https://medium.com/better-programming/7-habits-of-highly-effective-programmers-699e6b47b76?source=ifttt--------------2,https://medium.com/better-programming/7-habits-of-highly-effective-programmers-699e6b47b76?source=ifttt--------------2,The 7 Habits of Highly Effective Programmers,The 7 Habits of Highly Effective Programmers
"February 14, 2020 at 09:43PM","February 14, 2020 at 09:43PM",https://medium.com/design-leadership-notebook/why-design-thinking-is-taking-the-world-by-storm-1f30f71441cc?source=ifttt--------------2,https://medium.com/design-leadership-notebook/why-design-thinking-is-taking-the-world-by-storm-1f30f71441cc?source=ifttt--------------2,Why Design Thinking Is Taking The World By Storm,Why Design Thinking Is Taking The World By Storm
"February 14, 2020 at 09:49PM","February 14, 2020 at 09:49PM",https://medium.com/kaizen-habits/7-modern-life-habits-doing-the-most-damage-to-your-brain-e392c9cfee42?source=ifttt--------------2,https://medium.com/kaizen-habits/7-modern-life-habits-doing-the-most-damage-to-your-brain-e392c9cfee42?source=ifttt--------------2,7 Modern Life Habits That Can Be Incredibly Bad For Your Brain Health,7 Modern Life Habits That Can Be Incredibly Bad For Your Brain Health
"February 17, 2020 at 07:15AM","February 17, 2020 at 07:15AM",https://medium.com/swlh/design-sprints-are-absurd-a462e6413b7e?source=ifttt--------------2,https://medium.com/swlh/design-sprints-are-absurd-a462e6413b7e?source=ifttt--------------2,Design Sprints are Absurd,Design Sprints are Absurd
