Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 25,respondent_id,survey_id,cnt
American Chiropractic Association (ACA),None of the above,Researcher,Less than 5 years,41 - 50 years,Female,White/Caucasian,,12123663550,295082383,1
Congress of Chiropractic State Associations (ChiroCongress),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,3.,12125923389,295082383,1
One Chiropractic,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,3.,12125923389,295082383,2
State Chiropractic Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,3.,12125923389,295082383,3
American Chiropractic Association (ACA),Multi-location practice,Vendor/Business partner,11 - 20 years,41 - 50 years,Female,White/Caucasian,3.,12127472484,295082383,1
Congress of Chiropractic State Associations (ChiroCongress),Multi-location practice,Vendor/Business partner,11 - 20 years,41 - 50 years,Female,White/Caucasian,3.,12127472484,295082383,2
International Chiropractic Association (ICA),Multi-location practice,Vendor/Business partner,11 - 20 years,41 - 50 years,Female,White/Caucasian,3.,12127472484,295082383,3
State Chiropractic Association,Multi-location practice,Vendor/Business partner,11 - 20 years,41 - 50 years,Female,White/Caucasian,3.,12127472484,295082383,4
International Chiropractic Pediatric Association,Multi-location practice,Vendor/Business partner,11 - 20 years,41 - 50 years,Female,White/Caucasian,3.,12127472484,295082383,5
American Chiropractic Association (ACA),None of the above,Association Executive Director,N/A,61 - 70 years,Female,White/Caucasian,4.,12128647485,295082383,1
"All Women Chiropractic Association(s) - i.e. Women DCs, League of Chiropractic Women, etc.",None of the above,Association Executive Director,N/A,61 - 70 years,Female,White/Caucasian,4.,12128647485,295082383,2
Clinical Compass (CCGPP),None of the above,Association Executive Director,N/A,61 - 70 years,Female,White/Caucasian,4.,12128647485,295082383,3
State Chiropractic Association,None of the above,Association Executive Director,N/A,61 - 70 years,Female,White/Caucasian,4.,12128647485,295082383,4
One Chiropractic,None of the above,Association Executive Director,N/A,61 - 70 years,Female,White/Caucasian,4.,12128647485,295082383,5
League of Chiropractic Women (LCW),None of the above,Association Executive Director,N/A,61 - 70 years,Female,White/Caucasian,4.,12128647485,295082383,6
International Chiropractic Association (ICA),None of the above,Association Executive Director,N/A,61 - 70 years,Female,White/Caucasian,4.,12128647485,295082383,7
Foundation for Chiropractic Progress,None of the above,Association Executive Director,N/A,61 - 70 years,Female,White/Caucasian,4.,12128647485,295082383,8
Congress of Chiropractic State Associations (ChiroCongress),None of the above,Association Executive Director,N/A,61 - 70 years,Female,White/Caucasian,4.,12128647485,295082383,9
Congress of Chiropractic State Associations (ChiroCongress),Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,61 - 70 years,Male,White/Caucasian,3.,12129371149,295082383,1
International Chiropractic Association (ICA),Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,61 - 70 years,Male,White/Caucasian,3.,12129371149,295082383,2
One Chiropractic,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,61 - 70 years,Male,White/Caucasian,3.,12129371149,295082383,3
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,61 - 70 years,Male,White/Caucasian,3.,12129371149,295082383,4
State Chiropractic Association,None of the above,Association Executive Director,N/A,51 - 60 years,Male,White/Caucasian,4.,12130970404,295082383,1
Congress of Chiropractic State Associations (ChiroCongress),None of the above,Association Executive Director,N/A,51 - 60 years,Male,White/Caucasian,4.,12130970404,295082383,2
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,4.,12132412327,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,4.,12132412327,295082383,2
Foundation for Chiropractic Progress,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,4.,12132412327,295082383,3
Forward Thinking Chiropractic Alliance,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,4.,12132412327,295082383,4
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,4.,12132412327,295082383,5
State Chiropractic Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,4.,12132532419,295082383,1
Foundation for Chiropractic Progress,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,4.,12132532419,295082383,2
Forward Thinking Chiropractic Alliance,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,4.,12132532419,295082383,3
Federation of International Chiropractors du Sport (FICS),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,4.,12132532419,295082383,4
Congress of Chiropractic State Associations (ChiroCongress),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,4.,12132532419,295082383,5
Clinical Compass (CCGPP),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,4.,12132532419,295082383,6
American Chiropractic Association (ACA),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,4.,12132532419,295082383,7
State Chiropractic Association,None of the above,Association Executive Director,21 - 30 years,51 - 60 years,Male,White/Caucasian,,12132713655,295082383,1
Foundation for Chiropractic Progress,None of the above,Association Executive Director,21 - 30 years,51 - 60 years,Male,White/Caucasian,,12132713655,295082383,2
Congress of Chiropractic State Associations (ChiroCongress),None of the above,Association Executive Director,21 - 30 years,51 - 60 years,Male,White/Caucasian,,12132713655,295082383,3
Clinical Compass (CCGPP),None of the above,Association Executive Director,21 - 30 years,51 - 60 years,Male,White/Caucasian,,12132713655,295082383,4
American Chiropractic Association (ACA),None of the above,Association Executive Director,21 - 30 years,51 - 60 years,Male,White/Caucasian,,12132713655,295082383,5
World Federation of Chiropractic,None of the above,College faculty,5 - 10 years,31 - 40 years,Male,White/Caucasian,,12132714496,295082383,1
State Chiropractic Association,None of the above,College faculty,5 - 10 years,31 - 40 years,Male,White/Caucasian,,12132714496,295082383,2
Forward Thinking Chiropractic Alliance,None of the above,College faculty,5 - 10 years,31 - 40 years,Male,White/Caucasian,,12132714496,295082383,3
Council on Chiropractic Education,None of the above,College faculty,5 - 10 years,31 - 40 years,Male,White/Caucasian,,12132714496,295082383,4
American Chiropractic Association (ACA),None of the above,College faculty,5 - 10 years,31 - 40 years,Male,White/Caucasian,,12132714496,295082383,5
Congress of Chiropractic State Associations (ChiroCongress),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,2.,12133711006,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,2.,12133711006,295082383,2
Vendor of products or services to the chiropractic profession,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12132666954,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12132666954,295082383,2
American Chiropractic Association (ACA),Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12132666954,295082383,3
State Chiropractic Association,Integrated / multidisciplinary facility,Association Executive Director,31 - 40 years,51 - 60 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12133781802,295082383,1
State Chiropractic Association,None of the above,Association Executive Director,N/A,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12134173143,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12134213653,295082383,1
Foundation for Chiropractic Progress,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12134213653,295082383,2
